timestep	volume	pressure	pair_lj_energy	pressure_xx	pressure_yy	pressure_zz	pressure_xy	pressure_yz	pressure_xz
20000	10000	0.1663454	26.46244158	0.1696134807	0.1662990613	0.163123658	0.001886419945	0.004744654298	-0.0003855839862
20100	10000	0.169897623	19.85023654	0.1669670316	0.1767407726	0.1659850648	0.01177980988	0.0004739297598	0.0001126422854
20200	10000	0.1603309437	26.41127834	0.1551985365	0.1551770748	0.1706172198	0.0137689536	0.0008136545833	0.01813003908
20300	10000	0.1760908162	27.85443205	0.1672158461	0.1803771977	0.1806794049	0.002742628988	0.005528292376	-0.005165763391
20400	10000	0.1820957852	22.2542957	0.1731857896	0.1914682396	0.1816333263	0.005551793715	0.002009760409	0.0008722552522
20500	10000	0.1991395768	22.98588494	0.2088485825	0.1979915338	0.1905786142	0.005594162349	0.01406864397	0.01140817558
20600	10000	0.2020019586	23.98871627	0.2011623145	0.2065711158	0.1982724455	0.01052372521	0.006040152077	0.007803819867
20700	10000	0.1951161712	25.58848389	0.187795036	0.2038712049	0.1936822726	0.00738114167	0.01839741408	0.01112886779
20800	10000	0.1871280232	22.82940977	0.1841793103	0.1974330276	0.1797717319	0.002646035582	0.02114647173	0.009438323386
20900	10000	0.1915344424	26.77360338	0.1809630444	0.1954242936	0.1982159892	0.01154222712	0.01304400395	0.007375537495
21000	10000	0.1762584212	21.37741665	0.1644996569	0.1867220174	0.1775535892	0.0118982377	0.0127727045	0.009732583042
21100	10000	0.1800858168	18.64078379	0.1740287571	0.1886940597	0.1775346335	0.007756862102	0.01736221951	0.001186152767
21200	10000	0.1880485249	25.07962989	0.1802974008	0.1985864637	0.1852617103	0.002301886571	0.001834897354	0.006713175164
21300	10000	0.1926850578	25.68041865	0.1856000607	0.1989566594	0.1934984535	0.004658139367	0.01087961026	-0.001398238813
21400	10000	0.1810843707	25.43854253	0.1835810652	0.1872581319	0.1724139148	-0.002309105179	0.01708854358	-0.006608087458
21500	10000	0.1782194117	29.05627092	0.1491918458	0.1889143604	0.1965520287	0.02391758979	0.01704354705	-0.01348831044
21600	10000	0.1946597893	32.7980244	0.1921583994	0.2076012307	0.1842197378	0.008742518464	0.01262210061	-0.000846334037
21700	10000	0.1876844437	20.17659502	0.18345366	0.1892971169	0.1903025541	0.01125071223	0.01756524426	-0.001924248988
21800	10000	0.1870470692	24.1532	0.1768494347	0.1983571566	0.1859346163	-0.006463010078	0.004684947566	-0.006938299504
21900	10000	0.1826616833	22.68354958	0.180421212	0.1964654803	0.1710983578	-7.96238997e-05	0.002206647039	-0.007314024671
22000	10000	0.2234318116	28.68384131	0.2206588837	0.2154837619	0.2341527891	0.0037994945	0.008141008897	-0.03201178644
22100	10000	0.1885282018	23.33875395	0.1925495919	0.1906325051	0.1824025083	0.004605883752	0.008875822206	0.0006313779815
22200	10000	0.1961195569	33.61122227	0.2033508655	0.1948033051	0.1902045001	0.006421427953	0.0316432994	0.006868035191
22300	10000	0.190691154	23.49055087	0.1997563269	0.1846092581	0.1877078771	-0.01018305424	0.0006941242635	-0.002281355767
22400	10000	0.1934570138	37.76884191	0.1881528562	0.1944916142	0.1977265712	0.00652142334	-0.007743363498	0.01357240515
22500	10000	0.1924744431	20.55294127	0.1821171169	0.2044922436	0.1908139688	0.002675001856	0.006255787857	-0.001984597902
22600	10000	0.1916304841	27.53024394	0.1774939986	0.2068905063	0.1905069473	-0.003011713462	0.002420896049	0.006563557872
22700	10000	0.1830847038	39.70046452	0.1560394927	0.1970352742	0.1961793445	0.0007283854037	0.001382858191	0.01750897164
22800	10000	0.2114434973	30.99657543	0.2008681478	0.202231038	0.231231306	-0.01941290219	0.007330303945	-0.004114572615
22900	10000	0.1902475011	28.66436538	0.1924644782	0.1829343849	0.1953436402	-0.002447783633	0.001666917282	0.0009746538495
23000	10000	0.1963183641	26.6603577	0.1931765196	0.2015494674	0.1942291054	-0.004121780294	0.005517260931	0.003162026965
23100	10000	0.1924861836	32.45375598	0.2084506395	0.1800147938	0.1889931176	-0.007295406746	0.006580388939	-0.00135989264
23200	10000	0.1868172989	22.64929567	0.183683486	0.1867655249	0.1900028857	-0.01292548002	0.006734650284	-0.003069854479
23300	10000	0.2100501274	25.60064511	0.1961383919	0.2237290902	0.2102829002	0.009992837565	0.01860816222	0.005323296393
23400	10000	0.1959136322	30.11952571	0.2017997509	0.195597524	0.1903436218	0.008873819738	-0.001870740427	-0.001565277821
23500	10000	0.1924366701	27.212471	0.1930683025	0.2030045551	0.1812371526	-0.005705969273	0.004894086132	0.004627453105
23600	10000	0.204275814	31.14802046	0.2020213206	0.1820832271	0.2287228944	-0.006059480015	0.004906342056	-0.01499082738
