timestep	volume	pressure	pair_lj_energy	pressure_xx	pressure_yy	pressure_zz	pressure_xy	pressure_yz	pressure_xz
2500000	3809.614699	0.4768166765	82.21639748	0.4342152031	0.4732584878	0.5229763387	-0.007982914134	0.02190478168	-0.001495822942
2500100	3706.722016	0.4778513743	89.71193688	0.449390618	0.4906933126	0.4934701924	-0.03074068753	-0.03481904958	-0.01795656994
2500200	3588.615537	0.5468484822	87.52387526	0.5587150886	0.5212114859	0.5606188722	-0.02962446133	0.002086029595	0.0540252958
2500300	3602.734445	0.521273485	94.44436556	0.5003237894	0.5229459368	0.5405507289	0.02341308157	-0.01057989982	0.006101442801
2500400	3541.910515	0.5224541898	96.36845393	0.5519584776	0.4891794547	0.526224637	0.08858428858	-0.001823835918	0.003854615168
2500500	3493.653842	0.534482405	100.2801469	0.5126867817	0.5523931699	0.5383672633	-0.001488501246	-0.0284608081	0.03944011688
2500600	3481.592262	0.5728372999	100.6720462	0.534832292	0.5660898485	0.6175897592	-0.003578267057	-0.01675218986	0.02413256803
2500700	3422.722448	0.5781292704	94.73779454	0.5944947593	0.5695325635	0.5703604883	-0.05647560872	0.04066812954	0.04849063294
2500800	3553.869757	0.5488523672	105.285533	0.559378834	0.5667522059	0.5204260617	-0.04529301237	0.01510805621	0.002774743689
2500900	3485.3055	0.5074496964	88.2600338	0.4934170151	0.4702535379	0.5586785361	-0.05121210697	0.01313372655	-0.01085763278
2501000	3625.342007	0.5330046149	103.3369209	0.5540452501	0.5158181998	0.5291503948	0.009128455511	0.01901332019	0.03029188933
2501100	3492.53156	0.6145208423	110.6763072	0.5825309764	0.6554936744	0.605537876	-0.03847813361	-0.0793010412	0.03195935501
2501200	3582.579734	0.5734005785	102.2845117	0.5646668175	0.6140399679	0.5414949501	0.001624428999	0.0006515067866	-0.03078791202
2501300	3581.644605	0.5069320888	91.78480491	0.5034630313	0.4772207853	0.5401124496	0.005276528456	0.0325301086	-0.06080878886
2501400	3626.865748	0.4889515528	104.6435919	0.5030152779	0.5051782654	0.4586611152	-0.009351955347	-0.05453062971	-0.05275193741
2501500	3566.927636	0.5286021439	90.68725832	0.5291180336	0.4980421082	0.5586462899	0.03391777859	0.0432021054	-0.03757660021
2501600	3587.095313	0.5235040807	89.97625353	0.5246890263	0.5493845831	0.4964386327	0.007746664982	-0.01526974975	-0.06430810398
2501700	3507.893143	0.5660811861	126.6990936	0.5137219466	0.628753311	0.5557683007	0.1018238895	-0.06429246025	-0.04379172418
2501800	3541.279005	0.5657690243	104.5554429	0.5675312158	0.5577240935	0.5720517636	-0.02713584361	-0.02062785305	-0.04345651796
2501900	3451.786444	0.6061938669	119.9236587	0.6514144615	0.538136997	0.6290301421	0.01947888794	0.05623577879	-0.04349888568
2502000	3515.786062	0.578983303	103.9344525	0.5669871784	0.5568843836	0.613078347	0.01891344973	-0.0001715116033	-0.04270079978
2502100	3572.041402	0.5492103909	105.6625602	0.5504679845	0.5867859465	0.5103772417	-0.06438524993	-0.03061458054	0.03999418458
2502200	3490.966837	0.542597839	89.51938112	0.5764365633	0.4885275296	0.5628294242	0.01474785898	0.00837187468	-0.02661410224
2502300	3542.11584	0.5739649992	107.0219504	0.6558068967	0.533906798	0.532181303	-0.01207069638	0.006165684388	-0.004664207623
2502400	3538.465143	0.5690687862	107.705784	0.559481359	0.5607060329	0.5870189666	0.02564516339	-0.0299163925	-0.04241134419
2502500	3478.920451	0.6003366949	128.563756	0.6351034883	0.6163989337	0.5495076626	-0.01657718152	-0.03929552099	0.03511277042
2502600	3541.524468	0.5394926359	90.77929872	0.5677175376	0.4995003728	0.5512599974	0.01368539354	0.02656191602	0.00586181212
2502700	3561.894622	0.5166202273	85.81655615	0.5196215015	0.4749390188	0.5553001617	0.02371051461	0.01222204522	0.01997779056
2502800	3573.950637	0.5603486944	120.9869416	0.56947928	0.5482042765	0.5633625267	-0.02278886759	-0.06163139826	-0.03996174406
2502900	3502.437021	0.560922555	97.64003684	0.5702290885	0.5843982803	0.5281402961	-0.008319308303	-0.01485023119	0.003455002565
2503000	3523.478123	0.5382626099	104.0201232	0.5238668193	0.5077005311	0.5832204793	-0.04466155384	0.02991459206	-0.03155012177
2503100	3620.239596	0.4848881911	80.80356642	0.489210301	0.4964573886	0.4689968836	0.02655479161	0.03222357466	-0.04211785089
2503200	3491.296228	0.5600629634	108.3149967	0.5657045562	0.5895463649	0.5249379693	-0.0071477489	-0.01645628675	-0.00361318949
2503300	3572.048717	0.5113970828	89.28055024	0.5560682207	0.4538229324	0.5243000953	0.01937257876	-0.06562059185	-0.0597717481
2503400	3512.187899	0.5615214904	97.29731713	0.5589776012	0.5874800213	0.5381068487	0.01763784446	0.03215473984	-0.02219326865
2503500	3602.615167	0.5311080845	101.5947816	0.4629607207	0.5420879658	0.588275567	0.01920198137	0.01194175384	-0.04047472662
2503600	3588.176282	0.5412516768	99.95938112	0.5233774685	0.5285517146	0.5718258474	-0.00716870304	-0.02945275629	0.003543274722
2503700	3614.69869	0.5465796076	118.7605109	0.5808469377	0.4945027967	0.5643890883	-0.04082203779	-0.02784190397	-0.03739530182
2503800	3593.949051	0.5463896071	110.0143071	0.4634157957	0.5976565482	0.5780964774	0.035553456	0.01210615185	0.1192269693
2503900	3537.275985	0.5295280125	89.23638312	0.4992213392	0.5007258852	0.5886368131	0.02714206032	0.01479155267	-0.001624361891
2504000	3630.094475	0.5516401421	116.161775	0.5414870493	0.5733091337	0.5401242434	0.03255110184	0.03661700448	0.06191532714
2504100	3576.8084	0.5060910486	90.09581042	0.4794812681	0.5727963209	0.4659955569	-0.06262495199	0.04629614005	-0.02732728989
2504200	3491.922819	0.567533194	106.1336191	0.5750513253	0.5966996839	0.5308485726	-0.03697866611	0.02265519535	0.02027385101
2504300	3478.900264	0.5740672774	112.8928498	0.6338930606	0.5118945912	0.5764141803	-0.04767564786	0.01958128478	-0.02622444427
2504400	3488.79089	0.5842000524	103.0195705	0.5828001868	0.6057232846	0.5640766857	0.02308486302	0.02429851589	-0.01953442033
2504500	3520.560512	0.5567236223	107.1092472	0.6071064432	0.5409469104	0.5221175132	0.04488499317	0.04828993656	0.02033598741
2504600	3523.120862	0.5574694289	96.81825339	0.5837436552	0.571935052	0.5167295796	0.0006486336428	0.007473712906	0.05099468746
2504700	3519.891053	0.5703331292	105.4944119	0.5450486874	0.5642717989	0.6016789012	0.004198651131	0.01385986687	0.00941400538
2504800	3539.912329	0.5539696817	95.48060028	0.6005205978	0.5298139796	0.5315744675	0.00431099639	0.00976254217	-0.047171518
2504900	3440.404877	0.5906659926	105.9468918	0.5766476928	0.5904330531	0.6049172319	0.02041094798	-0.005313989579	-0.003366709403
2505000	3599.82285	0.5273771977	98.10752795	0.5654571946	0.5234822405	0.4931921579	-0.03244521705	0.008526840936	0.04994796851
2505100	3533.976707	0.5231383201	100.8983011	0.4997288984	0.5511536398	0.5185324221	0.03829075825	0.05356525295	0.04279354666
2505200	3479.535229	0.5526117396	106.0281648	0.5582426927	0.5761527897	0.5234397364	-0.01527943493	-0.04314743183	0.005437527271
2505300	3492.973107	0.5588151179	111.4835375	0.5753736179	0.5656168202	0.5354549157	-0.03034443175	0.04578972413	-0.03115030903
2505400	3663.851049	0.5272630129	100.2493499	0.534206303	0.5338867165	0.5136960192	-0.02510952875	-0.02735162629	-0.04209678824
2505500	3607.456005	0.5886709879	112.3080167	0.640855971	0.5508669075	0.5742900851	0.02983070599	-0.03034535417	0.02605959693
2505600	3612.737989	0.5014864286	89.33963702	0.4955905226	0.4940011444	0.5148676189	-0.0001231786729	-0.04584524239	-0.0372683566
2505700	3627.320229	0.5159819091	99.35277573	0.5549703016	0.4972850935	0.4956903321	0.003799120054	0.01604952985	-0.01090380223
2505800	3688.854653	0.4738907766	72.77016936	0.4814891567	0.4845912276	0.4555919456	0.01127116067	0.02444771078	0.04263393351
2505900	3546.437597	0.5868064628	123.0733149	0.5564703467	0.6187433172	0.5852057246	0.05292393701	0.01896198909	0.05188524937
2506000	3574.339133	0.5769610971	95.98711857	0.5892128179	0.5758716386	0.5657988346	-0.009136105295	0.05084880714	-0.07300384168
2506100	3569.730182	0.5616282649	116.2787823	0.5287747192	0.5769250818	0.5791849939	-0.0147675581	-0.005705315012	-0.06494641865
2506200	3510.308623	0.5481204688	104.3137211	0.5600369482	0.5150266242	0.5692978341	-0.08633825966	-0.03957894657	-0.03428497471
2506300	3451.484667	0.5857769076	106.7630593	0.5867565794	0.6834065177	0.4871676256	-0.03174890247	0.02814200666	0.01326269942
2506400	3546.923404	0.4910410032	83.40536861	0.5042949622	0.4790542612	0.4897737862	0.0521665859	0.05728560712	0.04620084334
2506500	3629.969304	0.4751440824	82.06320055	0.5073535333	0.4681860039	0.4498927099	0.05389262048	0.03158271308	-0.01674813908
2506600	3556.612077	0.5327157336	95.32038913	0.531816972	0.5455703111	0.5207599176	0.01403804173	-0.03968135154	0.0419435131
2506700	3602.108797	0.5162183183	90.39966484	0.4913370487	0.547814437	0.5095034693	0.002593166138	-0.09325187433	0.02550283272
2506800	3634.616511	0.5068427073	86.17084584	0.5117791004	0.5272434748	0.4815055466	0.03331092916	0.05259680794	0.008397183534
2506900	3592.337275	0.4995274683	94.70129429	0.4480094679	0.5245864884	0.5259864485	0.04471674379	0.01332672965	0.03873099027
2507000	3630.423952	0.4948936755	92.0453685	0.4685608639	0.5314265682	0.4846935945	-0.03339491277	-0.04308828919	0.02026390891
