mean_density err_density mean_U_LJ err_U_LJ mean_U err_U T_kelvin P_bar jobid
994.081219521647 0.07488491487579767 36294.422495203544 22.52183773451307 -190607.53746709775 157.64483106176746 300 10 8fe2bfcf8f28b9dd11f07083304407f4
785.329966221311 0.48741342920338615 21419.319707613275 16.05062950425383 -141921.04792345923 67.10024805784252 500 5 ba1192b7e51fb99d090bad1adacba426
995.3767588269575 0.07097307789035447 36327.05516421583 23.928376441104717 -190644.62043796264 158.54112627014052 300 40 8eff0bf1f7a3a4397fbe39b5f114e727
1071.0148237529097 0.20345845305287774 38118.29236474223 29.041228760057617 -192126.62018067585 171.04183598323226 300 2000 eace1c6e1586b3d23edbafa79ce5443c
1015.4806417854958 0.0773689354038519 36784.622846440936 24.924356295439786 -191112.5506825039 162.05285674461362 300 500 98a92aabcb7e401a950c3da21cb9e18c
998.2038943934175 0.0648998758185357 36383.33955375402 23.368698179778317 -190706.23624441886 159.04233664287966 300 100 27182e918308bd0109983854d80ccccc
944.6820323005328 0.14895366869649546 28783.431195929305 3.553010084589742 -168051.04241732202 122.17621127419712 400 500 14853479b93cb0f63b255db1099df1fa
994.4438064312336 0.0822096708929007 36304.51015346097 23.508603218520676 -190616.9445415542 156.8638411988713 300 20 ee95b1aac7500f8cc26601bbd9bbdfd0
791.5079150686643 0.47295457404790353 21536.788709423865 15.673076739138496 -142358.86047322644 68.75352678161701 500 50 d2400fb75246b113d5a20ee4a5d8b5e4
932.5984618859129 0.1727313451928446 25214.84629523057 9.620121946837783 -151714.03212573065 99.88373445636906 500 2000 72b04f37c7d41c0143c221a7de0edd23
790.0969328434518 0.4807314628653551 21508.15418845847 15.884267311091108 -142263.908006405 68.76745769664113 500 40 6ad1982d3e9c6d77ecede2261a6ea274
1010.2633152290399 0.04403696628186672 30823.554751449825 8.612028294984885 -171063.20020047156 134.83165882182342 400 2000 a3c7d953fb04be89b10862f95e9ddb54
809.7806299333114 0.4380066776542807 21906.29927671786 15.0239336924757 -143659.8470281107 72.55871918603209 500 200 61f3bbb0268a76950d63964dae8d9933
921.5473382878048 0.19689092440418252 28163.427941495305 2.635077487187377 -166851.76050289226 115.14047853238424 400 100 8e790861d9a344d8ad9dc4a29fa2524e
788.7452587417847 0.4779830773684445 21484.27815533066 15.815473702179204 -142168.69867706456 67.89457181866165 500 30 7e5798ad6c11325f3e8ba1cb2bf0c8d1
1098.515632613917 0.2786291891309748 34309.111612500536 18.221746586678226 -174144.67332385405 153.16568567042285 400 5000 bf4777bec46b355c69c793aa74f538b3
915.4182867762441 0.21816428348753075 28007.233995839837 2.69841272118753 -166514.92901547923 115.19219535260646 400 5 8c72618895696e59a87676a4598cbf8d
797.9813271517197 0.4584904174478027 21665.905060688172 15.507361512955661 -142821.41657361516 69.47183524697643 500 100 fb5eb52293877eecadfe0c933e67b97b
1002.498347625108 0.06494990059863819 36496.569041628594 23.666463322062178 -190824.4606435311 158.90451970947046 300 200 2b7dbd3e6dc719c311bd72521191b3ac
915.2049177232725 0.21963485465317895 27999.29070979494 2.571040177342768 -166499.4359924256 113.54789457147254 400 2 d7eed93185636e5b40c0472022c08022
839.4455416687729 0.3778433658375043 22572.151508618495 13.879065976290123 -145714.96769036763 79.06628351849157 500 500 974a9802d276fb54e7924a68c8552abf
1037.5722655054963 0.10528167462424055 29391.712155520247 4.273405891825125 -157213.65621435497 121.72047104480717 500 5000 fe326988591f30068c85d16dd821d5af
785.9867667606011 0.48674130238710933 21431.62004714145 15.894623396808845 -141967.02977192108 67.25629478887701 500 10 08a5300ee9f63e50f9820753e15c8e01
993.6804011059353 0.06476193634382772 36285.15881381392 22.856581680557913 -190605.85268256595 156.5634620216173 300 1 ca8c3f1978646fb077c21367ccd29890
877.2733127913579 0.30093748338054144 23537.119623041697 12.472612187914917 -148256.2284369039 87.52708855654654 500 1000 65e9247f60f092bae6a7e080faa86f6b
969.4187170116242 0.09317488458394038 29503.142681210793 5.246075148051541 -169261.32041966644 127.30176949970945 400 1000 a4be8575bc5599ccba048cc01be2c47d
784.789595056656 0.4883374107361796 21411.324155942555 15.698298413380853 -141889.22570088995 66.44204141988514 500 1 714361159d31fbbe810207a267476e2a
917.0509814032912 0.21871923028475956 28041.02581757026 2.7684607472280236 -166598.90018856575 114.70325297941893 400 30 f569c8897f9dc10c96361a9e3140f1da
1153.6244217210647 0.4531022895563128 40602.02568062287 37.39242478703053 -193127.33491403575 185.36190835333127 300 5000 0fae0c14c8af4d023d083703d17e0672
917.7549314280051 0.21340802670436576 28063.796209968667 2.018269641618009 -166642.55916148608 115.59225759860718 400 40 e76407299681dc769ab222be3dd445e0
993.7763895512346 0.07395838881230625 36292.114930195115 23.16895941599717 -190609.14106632865 158.13959598413558 300 5 1b961947ed07ade5cc69d0288c4edcbe
993.6895178237617 0.0821306073788676 36281.51133862537 23.442051387080998 -190593.04642283154 156.56930308339298 300 2 269f66979ddf9fdb59f011b83a0d49a2
1035.3929399327487 0.11276446075390556 37251.16788568316 26.590368139395892 -191514.91491568764 167.05977414522263 300 1000 487f090b372e0d3573b7716125f85f07
995.0002677911287 0.07017996380632913 36319.06727631588 23.49294243507708 -190638.68198367537 157.79980507564312 300 30 64b4508b6ddfe2597e4ac4b202311e95
787.2066542344727 0.4784939117694824 21457.32434210602 15.925201886369043 -142058.10301902072 67.79371040604516 500 20 40d723ab3c839f7968daf586ef2d20d1
784.8458934474261 0.4854850579774514 21408.209014024866 15.789501540563554 -141884.90976558515 66.62363749586409 500 2 601ff5caec87e8428cf28226d6437150
915.7828988733072 0.21710369452807396 28017.301896449342 2.6426868119069016 -166539.37645886463 116.17817602232071 400 10 e28493278160f6635e88d720a5dd6ca4
927.5988230218079 0.18699137035232613 28325.837113181675 2.907939608081468 -167170.11148400433 117.2683953794527 400 200 bcfbc3cb51902dddaa1cbfbdbd9e4168
918.2714179715622 0.21094712144405162 28077.552819210745 2.6320831812487833 -166665.06317525127 116.30064886241887 400 50 2081b13ddebfc494052d171387fb776e
995.641471983887 0.06545846452294696 36343.94984475536 23.509564924770036 -190653.07082353806 158.33917179407004 300 50 db186b4fdd03977cc1c3b90313f9d40d
915.0273893343322 0.21692608081736017 27999.38597421531 2.3477549736602437 -166486.846650027 113.45326025560799 400 1 41fa926d230323c1ea3fe4bd6cf73413
916.3587224923165 0.21471977788502092 28024.1038836828 2.4366281576248414 -166559.51050353062 115.35008249601746 400 20 a085e292e8d342478b4c78b18dce9acc
